LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 2,2018,1,04:00 AM-05:00 AM,5.24,3.29,2.71,1.07,1.59,7.31,1.44
Link 2,2018,1,06:00 AM-07:00 AM,2.76,2.19,0.9,0.48,1.47,1.95,0.65
Link 2,2018,1,07:00 AM-08:00 AM,3.93,3.12,1.83,0.87,1.67,2.39,0.78
Link 2,2018,1,08:00 AM-09:00 AM,2.65,2.03,0.64,0.32,1.54,3.46,0.71
Link 2,2018,1,01:00 PM-02:00 PM,2.93,2.19,1.14,0.63,1.34,3.62,0.77
Link 2,2018,1,02:00 PM-03:00 PM,3.12,2.47,1.13,0.57,1.58,3.18,0.82
Link 2,2018,1,03:00 PM-04:00 PM,3.31,2.54,1.27,0.62,1.56,3.06,0.85
Link 2,2018,1,07:00 PM-08:00 PM,2.33,1.74,0.43,0.22,1.42,3.4,0.56
Link 2,2018,1,10:00 PM-11:00 PM,3.49,2.77,1.63,0.88,1.48,1.88,0.97
Link 2,2018,1,11:00 PM-12:00 AM,2.76,1.93,0.7,0.34,1.44,2.12,0.63
Link 2,2018,1,03:00 AM-04:00 AM,1.82,1.44,0.32,0.21,1.19,1.6,0.36
Link 2,2019,1,12:00 AM-01:00 AM,5.54,4.33,3.27,1.44,1.77,2.45,0.74
Link 2,2019,1,05:00 AM-06:00 AM,15.69,13.06,11.31,2.58,3.65,28.15,7.24
Link 2,2019,1,06:00 AM-07:00 AM,8.91,7.2,5.87,1.93,2.46,14.75,3.57
Link 2,2019,1,07:00 AM-08:00 AM,4.35,3.32,2.36,1.19,1.52,3.59,0.85
Link 2,2019,1,08:00 AM-09:00 AM,4.6,3.65,2.44,1.13,1.72,3.55,1.06
Link 2,2019,1,09:00 AM-10:00 AM,6.97,5.52,4.5,1.82,1.96,8.04,1.97
Link 2,2019,1,10:00 AM-11:00 AM,12.55,10.2,9.65,3.33,2.36,8.49,2.74
Link 2,2019,1,11:00 AM-12:00 PM,5.23,4.25,2.83,1.18,1.95,5.2,1.54
Link 2,2019,1,01:00 PM-02:00 PM,5.28,3.88,2.93,1.25,1.73,3.67,0.99
Link 2,2019,1,02:00 PM-03:00 PM,9.94,7.53,7.24,2.68,2.04,4.53,1.37
Link 2,2019,1,03:00 PM-04:00 PM,5.64,4.4,3.37,1.48,1.77,3.85,1.3
Link 2,2019,1,04:00 PM-05:00 PM,4.05,3.13,1.93,0.91,1.64,2.61,0.94
Link 2,2019,1,05:00 PM-06:00 PM,8.97,6.45,5.86,1.88,2.24,9.39,2.95
Link 2,2019,1,06:00 PM-07:00 PM,10.46,7.53,7.04,2.06,2.46,8.59,2.98
Link 2,2019,1,07:00 PM-08:00 PM,12.55,8.78,9.11,2.65,2.41,16.77,4.59
Link 2,2019,1,08:00 PM-09:00 PM,10.46,7.52,7.02,2.04,2.47,13.09,4.01
Link 2,2019,1,09:00 PM-10:00 PM,8.09,5.93,5.56,2.2,1.86,4.29,1.2
Link 2,2019,1,04:00 AM-05:00 AM,4.39,2.95,2.17,0.97,1.49,4.99,1.18
Link 2,2019,1,12:00 PM-01:00 PM,4.7,3.51,2.5,1.14,1.64,2.94,0.97
Link 2,2019,1,10:00 PM-11:00 PM,15.53,11.13,12.13,3.56,2.44,20.8,4.87
Link 2,2019,1,11:00 PM-12:00 AM,5.99,4.31,3.07,1.05,2.1,4.66,1.57
Link 2,2019,1,02:00 AM-03:00 AM,9.94,6.8,6.26,1.7,2.52,24.25,4.55
Link 2,2019,1,01:00 AM-02:00 AM,11.19,9.52,7.88,2.38,2.81,12.23,4.66
Link 2,2019,1,03:00 AM-04:00 AM,12.55,9.3,8.46,2.07,3.03,50.09,7.35
Link 3,2017,1,12:00 AM-01:00 AM,2.26,1.6,0.57,0.34,1.19,1.52,0.4
Link 3,2017,1,03:00 AM-04:00 AM,2.1,1.49,0.48,0.3,1.15,1.8,0.33
Link 3,2017,1,04:00 AM-05:00 AM,2.33,1.71,0.71,0.43,1.19,2.27,0.45
Link 3,2017,1,05:00 AM-06:00 AM,2.77,1.99,0.84,0.44,1.39,2.91,0.59
Link 3,2017,1,06:00 AM-07:00 AM,2.28,1.6,0.54,0.31,1.22,1.76,0.38
Link 3,2017,1,07:00 AM-08:00 AM,2.52,1.75,0.73,0.41,1.24,1.87,0.45
Link 3,2017,1,08:00 AM-09:00 AM,2.54,1.78,0.77,0.43,1.24,1.82,0.48
Link 3,2017,1,09:00 AM-10:00 AM,2.14,1.54,0.53,0.33,1.16,1.7,0.35
Link 3,2017,1,10:00 AM-11:00 AM,2.15,1.58,0.53,0.33,1.19,2.05,0.4
Link 3,2017,1,11:00 AM-12:00 PM,2.26,1.61,0.6,0.36,1.18,2.61,0.41
Link 3,2017,1,12:00 PM-01:00 PM,2.27,1.59,0.56,0.33,1.19,1.86,0.38
Link 3,2017,1,01:00 PM-02:00 PM,2.04,1.45,0.36,0.21,1.19,1.67,0.35
Link 3,2017,1,02:00 PM-03:00 PM,2.55,1.71,0.67,0.36,1.26,1.77,0.54
Link 3,2017,1,03:00 PM-04:00 PM,2.64,1.81,0.8,0.43,1.26,1.82,0.53
Link 3,2017,1,04:00 PM-05:00 PM,2.3,1.63,0.66,0.4,1.17,1.81,0.38
Link 3,2017,1,05:00 PM-06:00 PM,2.27,1.59,0.57,0.33,1.19,1.74,0.38
Link 3,2017,1,06:00 PM-07:00 PM,2.34,1.64,0.65,0.39,1.18,1.93,0.37
Link 3,2017,1,07:00 PM-08:00 PM,2.23,1.56,0.51,0.3,1.2,2.33,0.38
Link 3,2017,1,08:00 PM-09:00 PM,2.33,1.63,0.6,0.35,1.21,2.32,0.39
Link 3,2017,1,09:00 PM-10:00 PM,2.8,1.88,0.91,0.48,1.27,1.94,0.52
Link 3,2017,1,10:00 PM-11:00 PM,2.48,1.7,0.7,0.39,1.22,2.5,0.5
Link 3,2017,1,11:00 PM-12:00 AM,2.64,1.81,0.75,0.4,1.29,2.32,0.47
Link 3,2017,1,01:00 AM-02:00 AM,2.5,1.8,0.67,0.36,1.32,2.23,0.5
Link 3,2017,1,02:00 AM-03:00 AM,2.4,1.73,0.7,0.41,1.22,2.9,0.52
Link 3,2018,1,12:00 AM-01:00 AM,2.34,1.66,0.7,0.42,1.16,2.04,0.45
Link 3,2018,1,01:00 AM-02:00 AM,2.24,1.62,0.6,0.36,1.19,2.3,0.48
Link 3,2018,1,02:00 AM-03:00 AM,2.17,1.62,0.56,0.35,1.2,2.01,0.41
Link 3,2018,1,04:00 AM-05:00 AM,2.36,1.7,0.66,0.39,1.22,2.45,0.51
Link 3,2018,1,05:00 AM-06:00 AM,2.34,1.72,0.52,0.29,1.34,2.33,0.49
Link 3,2018,1,06:00 AM-07:00 AM,2.52,1.79,0.75,0.42,1.26,1.8,0.48
Link 3,2018,1,07:00 AM-08:00 AM,2.22,1.58,0.46,0.26,1.25,1.84,0.43
Link 3,2018,1,08:00 AM-09:00 AM,2.34,1.66,0.58,0.33,1.25,2.29,0.49
Link 3,2018,1,09:00 AM-10:00 AM,2.34,1.72,0.63,0.37,1.26,1.88,0.46
Link 3,2018,1,10:00 AM-11:00 AM,2.32,1.7,0.62,0.36,1.25,1.68,0.43
Link 3,2018,1,11:00 AM-12:00 PM,2.4,1.7,0.71,0.42,1.2,1.83,0.42
Link 3,2018,1,12:00 PM-01:00 PM,2.21,1.57,0.54,0.32,1.19,1.62,0.39
Link 3,2018,1,01:00 PM-02:00 PM,2.15,1.52,0.48,0.28,1.19,2.12,0.39
Link 3,2018,1,02:00 PM-03:00 PM,2.55,1.78,0.69,0.37,1.3,1.82,0.53
Link 3,2018,1,03:00 PM-04:00 PM,2.73,1.87,0.86,0.46,1.28,1.77,0.54
Link 3,2018,1,04:00 PM-05:00 PM,2.27,1.61,0.6,0.36,1.18,1.62,0.39
Link 3,2018,1,05:00 PM-06:00 PM,2.14,1.52,0.49,0.3,1.17,1.46,0.37
Link 3,2018,1,06:00 PM-07:00 PM,2.21,1.57,0.56,0.34,1.17,1.46,0.37
Link 3,2018,1,07:00 PM-08:00 PM,2.34,1.68,0.6,0.34,1.25,1.83,0.42
Link 3,2018,1,08:00 PM-09:00 PM,2.16,1.54,0.5,0.3,1.18,1.83,0.42
Link 3,2018,1,09:00 PM-10:00 PM,2.44,1.71,0.67,0.38,1.24,2.14,0.53
Link 3,2018,1,10:00 PM-11:00 PM,2.48,1.73,0.71,0.4,1.24,2.24,0.54
Link 3,2018,1,11:00 PM-12:00 AM,2.48,1.76,0.71,0.4,1.26,2.29,0.49
Link 3,2018,1,03:00 AM-04:00 AM,2.08,1.51,0.44,0.26,1.19,1.76,0.37
Link 3,2019,1,12:00 AM-01:00 AM,2.26,1.62,0.55,0.32,1.22,1.78,0.5
Link 3,2019,1,02:00 AM-03:00 AM,2.39,1.71,0.66,0.38,1.24,1.86,0.45
Link 3,2019,1,04:00 AM-05:00 AM,2.34,1.67,0.64,0.37,1.22,1.86,0.45
Link 3,2019,1,05:00 AM-06:00 AM,2.31,1.65,0.66,0.4,1.18,1.97,0.46
Link 3,2019,1,06:00 AM-07:00 AM,2.32,1.66,0.63,0.37,1.21,1.81,0.47
Link 3,2019,1,07:00 AM-08:00 AM,2.39,1.73,0.69,0.4,1.24,1.81,0.47
Link 3,2019,1,08:00 AM-09:00 AM,2.63,1.88,0.9,0.52,1.24,2.29,0.52
Link 3,2019,1,09:00 AM-10:00 AM,2.04,1.5,0.44,0.28,1.17,1.7,0.36
Link 3,2019,1,10:00 AM-11:00 AM,2.14,1.55,0.47,0.28,1.21,1.54,0.39
Link 3,2019,1,11:00 AM-12:00 PM,2.09,1.51,0.45,0.27,1.19,1.42,0.4
Link 3,2019,1,12:00 PM-01:00 PM,2.3,1.65,0.62,0.36,1.21,1.62,0.39
Link 3,2019,1,01:00 PM-02:00 PM,2.22,1.55,0.47,0.27,1.22,1.78,0.39
Link 3,2019,1,02:00 PM-03:00 PM,2.81,1.94,0.88,0.45,1.33,1.89,0.6
Link 3,2019,1,03:00 PM-04:00 PM,2.63,1.81,0.78,0.42,1.27,2.22,0.61
Link 3,2019,1,04:00 PM-05:00 PM,2.2,1.57,0.55,0.33,1.18,1.77,0.38
Link 3,2019,1,05:00 PM-06:00 PM,2.2,1.57,0.54,0.33,1.18,2.0,0.41
Link 3,2019,1,06:00 PM-07:00 PM,2.2,1.57,0.52,0.31,1.2,1.77,0.42
Link 3,2019,1,07:00 PM-08:00 PM,2.14,1.53,0.5,0.3,1.17,1.58,0.37
Link 3,2019,1,08:00 PM-09:00 PM,2.18,1.56,0.54,0.33,1.18,2.0,0.4
Link 3,2019,1,09:00 PM-10:00 PM,2.47,1.76,0.72,0.41,1.25,2.28,0.5
Link 3,2019,1,10:00 PM-11:00 PM,2.33,1.69,0.63,0.37,1.23,1.83,0.47
Link 3,2019,1,11:00 PM-12:00 AM,2.33,1.72,0.65,0.38,1.24,2.38,0.52
Link 3,2019,1,03:00 AM-04:00 AM,2.24,1.69,0.59,0.36,1.24,2.04,0.49
Link 3,2019,1,01:00 AM-02:00 AM,2.26,1.64,0.57,0.33,1.23,2.83,0.51
Link 4,2017,1,10:00 AM-11:00 AM,3.0,2.33,1.23,0.69,1.37,3.51,0.71
Link 4,2017,1,12:00 PM-01:00 PM,2.53,2.01,0.93,0.58,1.27,2.78,0.59
Link 4,2017,1,01:00 PM-02:00 PM,2.75,2.06,0.98,0.55,1.33,5.19,0.87
