LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 2,2018,1,07:00 PM-08:00 PM,2.33,1.74,0.42,0.22,1.42,3.44,0.56,1.91
Link 2,2018,1,10:00 PM-11:00 PM,3.5,2.78,1.64,0.89,1.47,2.01,0.99,1.86
Link 2,2018,1,11:00 PM-12:00 AM,2.77,1.94,0.69,0.33,1.45,2.21,0.66,2.08
Link 2,2018,2,03:00 AM-04:00 AM,3.63,2.59,1.65,0.83,1.41,4.83,0.68,1.98
Link 2,2018,2,04:00 AM-05:00 AM,4.83,3.37,2.41,1.0,1.69,4.28,0.77,2.42
Link 2,2018,2,05:00 AM-06:00 AM,4.07,3.04,1.94,0.91,1.59,4.05,1.14,2.13
Link 2,2018,2,06:00 AM-07:00 AM,15.71,11.47,12.46,3.83,2.37,6.8,2.3,3.25
Link 2,2018,2,07:00 AM-08:00 AM,7.96,5.11,4.99,1.68,1.91,3.36,1.43,2.97
Link 2,2018,2,08:00 AM-09:00 AM,5.71,3.64,3.01,1.11,1.72,2.63,1.12,2.7
Link 2,2018,2,09:00 AM-10:00 AM,5.71,3.81,3.08,1.17,1.75,3.14,1.22,2.63
Link 2,2018,2,10:00 AM-11:00 AM,4.56,3.12,2.21,0.94,1.61,3.9,1.11,2.35
Link 2,2018,2,11:00 AM-12:00 PM,4.1,2.87,1.82,0.8,1.6,2.38,0.88,2.28
Link 2,2018,2,12:00 PM-01:00 PM,4.83,3.22,2.49,1.06,1.56,3.0,0.99,2.34
Link 2,2018,2,01:00 PM-02:00 PM,4.78,3.19,2.39,1.0,1.6,2.13,0.93,2.39
Link 2,2018,2,02:00 PM-03:00 PM,5.82,3.81,3.22,1.24,1.7,2.68,1.0,2.6
Link 2,2018,2,03:00 PM-04:00 PM,5.04,3.45,2.63,1.09,1.65,2.82,1.01,2.41
Link 2,2018,2,04:00 PM-05:00 PM,6.28,4.19,3.52,1.27,1.84,3.18,1.32,2.76
Link 2,2018,2,05:00 PM-06:00 PM,7.85,5.0,4.74,1.52,1.98,3.89,1.82,3.11
Link 2,2018,2,06:00 PM-07:00 PM,8.98,6.28,5.95,1.96,2.12,5.94,2.34,3.03
Link 2,2018,2,07:00 PM-08:00 PM,5.71,4.26,3.34,1.41,1.77,5.7,1.64,2.37
Link 2,2018,2,08:00 PM-09:00 PM,4.83,3.6,2.57,1.14,1.69,3.48,1.12,2.26
Link 2,2018,2,09:00 PM-10:00 PM,4.01,2.8,1.6,0.66,1.69,2.66,1.02,2.41
Link 2,2018,2,10:00 PM-11:00 PM,6.98,5.23,4.41,1.71,1.93,6.73,1.66,2.57
Link 2,2019,3,01:00 AM-02:00 AM,9.49,7.42,7.01,2.82,1.94,7.18,1.35,2.49
Link 2,2019,3,02:00 AM-03:00 AM,10.01,7.22,6.94,2.26,2.22,14.84,3.88,3.07
Link 2,2019,3,04:00 AM-05:00 AM,5.88,4.23,3.55,1.52,1.68,2.63,0.61,2.34
Link 2,2019,3,05:00 AM-06:00 AM,10.46,7.53,7.38,2.39,2.22,8.6,2.83,3.08
Link 2,2019,3,06:00 AM-07:00 AM,7.84,5.37,5.05,1.81,1.91,6.92,2.05,2.79
Link 2,2019,3,07:00 AM-08:00 AM,6.28,3.69,3.36,1.15,1.72,2.91,1.25,2.92
Link 2,2019,3,08:00 AM-09:00 AM,6.97,4.1,3.96,1.32,1.77,2.21,1.07,3.01
Link 2,2019,3,09:00 AM-10:00 AM,7.62,5.01,4.86,1.76,1.81,3.62,1.46,2.76
Link 2,2019,3,10:00 AM-11:00 AM,4.48,3.01,2.06,0.85,1.63,3.46,1.14,2.42
Link 2,2019,3,11:00 AM-12:00 PM,5.23,3.66,2.83,1.18,1.68,3.02,1.14,2.4
Link 2,2019,3,12:00 PM-01:00 PM,6.84,4.69,4.28,1.67,1.75,2.94,1.23,2.56
Link 2,2019,3,01:00 PM-02:00 PM,6.08,4.08,3.39,1.26,1.8,3.02,1.25,2.69
Link 2,2019,3,02:00 PM-03:00 PM,4.83,3.16,2.25,0.88,1.68,1.92,0.88,2.58
Link 2,2019,3,03:00 PM-04:00 PM,5.71,3.83,3.12,1.21,1.74,3.22,1.23,2.59
Link 2,2019,3,04:00 PM-05:00 PM,6.28,4.21,3.55,1.3,1.83,2.98,1.21,2.73
Link 2,2019,3,05:00 PM-06:00 PM,8.97,5.86,5.83,1.86,2.05,5.07,1.97,3.14
Link 2,2019,3,06:00 PM-07:00 PM,15.69,10.25,12.17,3.45,2.3,6.21,2.42,3.52
Link 2,2019,3,07:00 PM-08:00 PM,8.97,5.86,6.03,2.06,1.92,7.32,2.17,2.94
Link 2,2019,3,08:00 PM-09:00 PM,9.33,6.58,6.45,2.24,2.03,4.76,1.82,2.88
Link 2,2019,3,09:00 PM-10:00 PM,4.48,3.13,2.09,0.88,1.67,2.83,1.12,2.39
Link 3,2017,1,12:00 AM-01:00 AM,2.26,1.6,0.58,0.34,1.19,1.36,0.4,1.68
Link 3,2017,1,01:00 AM-02:00 AM,2.52,1.81,0.68,0.37,1.32,2.2,0.51,1.84
Link 3,2017,1,03:00 AM-04:00 AM,2.1,1.49,0.48,0.3,1.15,1.77,0.33,1.62
Link 3,2017,1,04:00 AM-05:00 AM,2.35,1.72,0.72,0.44,1.2,2.45,0.46,1.63
Link 3,2017,1,05:00 AM-06:00 AM,2.73,1.95,0.81,0.42,1.37,2.57,0.54,1.92
Link 3,2017,1,06:00 AM-07:00 AM,2.27,1.6,0.53,0.3,1.22,1.65,0.39,1.74
Link 3,2017,1,07:00 AM-08:00 AM,2.54,1.78,0.75,0.42,1.25,2.03,0.47,1.79
Link 3,2017,1,08:00 AM-09:00 AM,2.5,1.75,0.74,0.42,1.23,1.82,0.48,1.76
Link 3,2017,1,09:00 AM-10:00 AM,2.09,1.51,0.49,0.3,1.16,1.6,0.34,1.61
Link 3,2017,1,10:00 AM-11:00 AM,2.15,1.58,0.53,0.32,1.19,2.05,0.4,1.62
Link 3,2017,1,11:00 AM-12:00 PM,2.27,1.61,0.61,0.37,1.18,2.41,0.42,1.66
Link 3,2017,1,12:00 PM-01:00 PM,2.27,1.59,0.56,0.33,1.2,2.05,0.36,1.71
Link 3,2017,1,01:00 PM-02:00 PM,2.04,1.45,0.36,0.21,1.19,1.67,0.35,1.68
Link 3,2017,1,02:00 PM-03:00 PM,2.56,1.72,0.68,0.36,1.26,1.77,0.54,1.88
